DEPTH (FT)	CALI (IN)	GR (GAPI)	NPHISS	RHOB (G/C3)	RILD (OHMM)	SP (MV)	RFOC (OHMM)
10100.5	10.809	101.778	0.434	2.315	0.744	-8.984	0.765
10100.75	10.795	101.861	0.435	2.315	0.739	-8.905	0.759
10101	10.789	101.987	0.436	2.314	0.735	-8.866	0.755
10101.25	10.786	102.112	0.437	2.314	0.731	-8.854	0.752
10101.5	10.785	102.244	0.438	2.314	0.729	-8.859	0.751
10101.75	10.786	102.369	0.438	2.315	0.727	-8.881	0.751
10102	10.79	102.375	0.439	2.316	0.726	-8.923	0.75
10102.25	10.797	102.24	0.44	2.318	0.725	-8.986	0.749
10102.5	10.805	102.002	0.442	2.319	0.725	-9.062	0.749
10102.75	10.812	101.732	0.443	2.32	0.724	-9.135	0.75
10103	10.813	101.542	0.444	2.32	0.723	-9.185	0.751
10103.25	10.801	101.569	0.445	2.32	0.721	-9.199	0.752
10103.5	10.774	101.814	0.446	2.32	0.719	-9.178	0.753
10103.75	10.732	102.078	0.448	2.32	0.718	-9.134	0.752
10104	10.681	102.141	0.45	2.319	0.717	-9.088	0.75
10104.25	10.629	101.943	0.453	2.319	0.716	-9.066	0.747
10104.5	10.586	101.598	0.455	2.318	0.715	-9.092	0.743
10104.75	10.556	101.477	0.456	2.317	0.715	-9.175	0.74
10105	10.54	101.895	0.457	2.316	0.714	-9.303	0.739
10105.25	10.533	102.839	0.458	2.316	0.714	-9.442	0.738
10105.5	10.53	103.961	0.459	2.315	0.713	-9.554	0.738
10105.75	10.529	104.786	0.461	2.315	0.713	-9.614	0.738
10106	10.528	104.971	0.462	2.315	0.714	-9.62	0.738
10106.25	10.529	104.455	0.464	2.315	0.714	-9.594	0.736
10106.5	10.532	103.544	0.464	2.314	0.714	-9.564	0.735
10106.75	10.538	102.669	0.463	2.314	0.714	-9.547	0.735
10107	10.55	102.205	0.461	2.314	0.713	-9.537	0.737
10107.25	10.572	102.314	0.459	2.314	0.713	-9.518	0.739
10107.5	10.61	102.81	0.457	2.314	0.712	-9.47	0.742
10107.75	10.665	103.356	0.456	2.314	0.713	-9.392	0.745
10108	10.732	103.662	0.456	2.313	0.713	-9.295	0.746
10108.25	10.801	103.542	0.457	2.313	0.714	-9.197	0.747
10108.5	10.863	103.039	0.458	2.312	0.715	-9.113	0.748
10108.75	10.908	102.328	0.46	2.311	0.716	-9.042	0.748
10109	10.934	101.702	0.461	2.31	0.717	-8.972	0.749
10109.25	10.945	101.458	0.461	2.309	0.718	-8.889	0.75
10109.5	10.949	101.653	0.46	2.307	0.718	-8.791	0.75
10109.75	10.949	102.028	0.46	2.306	0.718	-8.693	0.749
10110	10.949	102.156	0.461	2.304	0.719	-8.617	0.747
10110.25	10.949	101.819	0.462	2.303	0.72	-8.581	0.745
10110.5	10.948	101.1	0.463	2.302	0.72	-8.583	0.743
10110.75	10.946	100.247	0.465	2.301	0.721	-8.609	0.741
10111	10.944	99.614	0.466	2.301	0.721	-8.64	0.74
10111.25	10.942	99.515	0.467	2.301	0.721	-8.666	0.739
10111.5	10.941	99.996	0.468	2.301	0.72	-8.69	0.738
10111.75	10.941	100.821	0.469	2.302	0.718	-8.725	0.739
10112	10.941	101.584	0.469	2.303	0.717	-8.771	0.742
10112.25	10.942	102.062	0.467	2.305	0.716	-8.813	0.745
10112.5	10.943	102.201	0.464	2.307	0.715	-8.826	0.75
10112.75	10.944	101.982	0.459	2.309	0.716	-8.787	0.754
10113	10.943	101.385	0.455	2.312	0.716	-8.682	0.758
10113.25	10.94	100.519	0.45	2.314	0.718	-8.516	0.76
10113.5	10.935	99.614	0.447	2.316	0.72	-8.306	0.761
10113.75	10.926	98.891	0.446	2.317	0.722	-8.07	0.761
10114	10.917	98.359	0.446	2.318	0.724	-7.817	0.761
10114.25	10.909	97.971	0.447	2.318	0.727	-7.546	0.761
10114.5	10.907	97.825	0.447	2.318	0.729	-7.26	0.762
10114.75	10.919	97.99	0.446	2.317	0.731	-6.967	0.764
10115	10.948	98.386	0.444	2.316	0.734	-6.699	0.767
10115.25	10.992	98.859	0.442	2.314	0.737	-6.495	0.769
10115.5	11.041	99.339	0.441	2.313	0.74	-6.391	0.771
10115.75	11.079	99.705	0.442	2.311	0.743	-6.399	0.771
10116	11.095	99.822	0.443	2.31	0.746	-6.499	0.77
10116.25	11.084	99.614	0.446	2.309	0.748	-6.643	0.768
10116.5	11.053	99.125	0.449	2.307	0.749	-6.78	0.766
10116.75	11.015	98.39	0.45	2.307	0.75	-6.88	0.764
10117	10.983	97.448	0.451	2.306	0.749	-6.934	0.762
10117.25	10.963	96.373	0.451	2.305	0.748	-6.95	0.761
10117.5	10.953	95.229	0.449	2.305	0.747	-6.941	0.76
10117.75	10.947	94.135	0.445	2.305	0.745	-6.916	0.761
10118	10.939	93.308	0.442	2.304	0.743	-6.875	0.762
10118.25	10.93	92.904	0.439	2.304	0.741	-6.815	0.764
10118.5	10.927	93.066	0.437	2.304	0.739	-6.735	0.767
10118.75	10.936	93.947	0.436	2.304	0.738	-6.634	0.769
10119	10.957	95.506	0.436	2.305	0.738	-6.507	0.771
10119.25	10.987	97.481	0.435	2.305	0.739	-6.347	0.773
10119.5	11.02	99.391	0.433	2.305	0.741	-6.148	0.774
10119.75	11.048	100.77	0.43	2.306	0.743	-5.907	0.776
10120	11.061	101.269	0.427	2.306	0.746	-5.624	0.778
10120.25	11.054	100.968	0.425	2.307	0.748	-5.311	0.781
10120.5	11.027	100.272	0.424	2.307	0.752	-4.992	0.784
10120.75	10.984	99.563	0.426	2.306	0.755	-4.7	0.786
10121	10.932	99.131	0.429	2.305	0.759	-4.466	0.788
10121.25	10.879	99.109	0.433	2.303	0.763	-4.308	0.789
10121.5	10.836	99.384	0.436	2.301	0.767	-4.223	0.791
10121.75	10.817	99.724	0.438	2.298	0.772	-4.196	0.794
10122	10.832	100.065	0.438	2.294	0.777	-4.196	0.795
10122.25	10.881	100.457	0.436	2.289	0.784	-4.198	0.797
10122.5	10.945	100.872	0.434	2.285	0.793	-4.182	0.797
10122.75	10.998	101.11	0.431	2.279	0.806	-4.143	0.798
10123	11.017	100.95	0.43	2.274	0.823	-4.088	0.799
10123.25	10.992	100.227	0.43	2.268	0.844	-4.029	0.805
10123.5	10.933	99.066	0.432	2.263	0.872	-3.981	0.821
10123.75	10.861	97.753	0.435	2.256	0.906	-3.96	0.854
10124	10.802	96.569	0.437	2.25	0.948	-3.982	0.914
10124.25	10.769	95.729	0.437	2.243	1	-4.069	1.01
10124.5	10.761	95.303	0.436	2.235	1.063	-4.254	1.157
10124.75	10.766	95.017	0.432	2.225	1.138	-4.59	1.365
10125	10.773	94.393	0.427	2.214	1.226	-5.154	1.637
10125.25	10.779	93.103	0.42	2.2	1.331	-6.065	1.957
10125.5	10.782	91.093	0.41	2.187	1.456	-7.485	2.278
10125.75	10.783	88.439	0.4	2.17	1.604	-9.562	2.545
10126	10.782	85.205	0.389	2.154	1.787	-12.373	2.726
10126.25	10.78	81.478	0.379	2.137	2.019	-15.876	2.827
10126.5	10.779	77.379	0.371	2.12	2.325	-19.915	2.876
10126.75	10.781	73.209	0.364	2.106	2.739	-24.252	2.901
10127	10.786	69.344	0.359	2.091	3.305	-28.625	2.92
10127.25	10.794	66.115	0.356	2.079	4.059	-32.804	2.941
10127.5	10.804	63.806	0.353	2.068	5.002	-36.627	2.972
10127.75	10.814	62.48	0.352	2.06	6.048	-39.996	3.018
10128	10.823	61.871	0.351	2.053	7.002	-42.853	3.078
10128.25	10.83	61.63	0.35	2.048	7.653	-45.148	3.141
10128.5	10.834	61.484	0.348	2.044	7.93	-46.861	3.197
10128.75	10.837	61.388	0.347	2.041	7.918	-48.036	3.244
10129	10.839	61.392	0.345	2.039	7.75	-48.782	3.297
10129.25	10.84	61.409	0.343	2.037	7.53	-49.258	3.394
10129.5	10.841	61.301	0.342	2.035	7.314	-49.637	3.583
10129.75	10.841	60.988	0.341	2.034	7.132	-50.064	3.92
10130	10.841	60.51	0.339	2.033	7.007	-50.618	4.458
10130.25	10.841	59.947	0.338	2.032	6.967	-51.303	5.239
10130.5	10.84	59.33	0.335	2.032	7.049	-52.065	6.267
10130.75	10.84	58.636	0.333	2.032	7.287	-52.846	7.476
10131	10.839	57.757	0.331	2.032	7.709	-53.61	8.753
10131.25	10.836	56.645	0.329	2.034	8.321	-54.353	10.032
10131.5	10.831	55.464	0.327	2.035	9.108	-55.074	11.386
10131.75	10.822	54.401	0.325	2.037	10.026	-55.748	12.985
10132	10.81	53.607	0.322	2.038	11.018	-56.335	14.966
10132.25	10.796	53.141	0.318	2.04	12.026	-56.783	17.354
10132.5	10.784	52.903	0.314	2.042	12.979	-57.051	20.021
10132.75	10.775	52.77	0.31	2.042	13.776	-57.121	22.713
10133	10.771	52.634	0.307	2.043	14.299	-57.004	25.193
10133.25	10.769	52.494	0.306	2.043	14.485	-56.742	27.387
10133.5	10.77	52.421	0.305	2.042	14.385	-56.385	29.35
10133.75	10.771	52.425	0.305	2.041	14.146	-55.978	31.136
10134	10.772	52.441	0.305	2.039	13.927	-55.547	32.733
10134.25	10.775	52.394	0.304	2.037	13.835	-55.096	34.054
10134.5	10.78	52.296	0.305	2.035	13.918	-54.616	34.969
10134.75	10.786	52.357	0.308	2.032	14.18	-54.097	35.375
10135	10.792	52.72	0.311	2.03	14.604	-53.535	35.245
10135.25	10.797	53.388	0.312	2.028	15.17	-52.94	34.651
10135.5	10.799	54.243	0.313	2.026	15.859	-52.341	33.771
10135.75	10.797	55.119	0.312	2.024	16.647	-51.77	32.857
10136	10.793	55.767	0.31	2.023	17.499	-51.249	32.165
10136.25	10.786	55.929	0.308	2.022	18.373	-50.779	31.886
10136.5	10.779	55.563	0.305	2.021	19.213	-50.352	32.097
10136.75	10.773	54.833	0.303	2.021	19.956	-49.963	32.742
10137	10.769	53.934	0.299	2.021	20.531	-49.616	33.66
10137.25	10.768	53.017	0.294	2.022	20.896	-49.329	34.645
10137.5	10.769	52.219	0.289	2.022	21.059	-49.127	35.537
10137.75	10.773	51.693	0.284	2.023	21.09	-49.039	36.285
10138	10.778	51.512	0.282	2.024	21.092	-49.093	36.942
10138.25	10.783	51.52	0.283	2.025	21.158	-49.312	37.555
10138.5	10.785	51.42	0.285	2.026	21.349	-49.706	38.067
10138.75	10.782	51.03	0.289	2.027	21.676	-50.276	38.317
10139	10.774	50.452	0.294	2.027	22.111	-51.006	38.164
10139.25	10.759	49.963	0.299	2.027	22.599	-51.863	37.624
10139.5	10.735	49.804	0.305	2.026	23.075	-52.804	36.882
10139.75	10.702	50.07	0.31	2.025	23.477	-53.786	36.173
10140	10.658	50.709	0.316	2.023	23.752	-54.773	35.658
10140.25	10.609	51.526	0.321	2.021	23.857	-55.736	35.348
10140.5	10.559	52.221	0.327	2.018	23.756	-56.654	35.111
10140.75	10.515	52.611	0.333	2.016	23.413	-57.513	34.72
10141	10.481	52.749	0.338	2.013	22.791	-58.304	33.96
10141.25	10.46	52.817	0.341	2.011	21.88	-59.018	32.767
10141.5	10.452	53.029	0.342	2.009	20.729	-59.652	31.255
10141.75	10.456	53.503	0.34	2.008	19.45	-60.198	29.652
10142	10.471	54.201	0.339	2.006	18.175	-60.64	28.183
10142.25	10.495	55.009	0.34	2.006	17.01	-60.954	26.969
10142.5	10.523	55.861	0.344	2.006	16.021	-61.123	26
10142.75	10.55	56.597	0.348	2.006	15.228	-61.149	25.142
10143	10.572	57.068	0.345	2.007	14.625	-61.058	24.173
10143.25	10.585	57.263	0.343	2.008	14.188	-60.899	22.85
10143.5	10.587	57.346	0.341	2.009	13.884	-60.722	21.072
10143.75	10.579	57.424	0.341	2.011	13.675	-60.566	18.977
10144	10.562	57.571	0.342	2.013	13.52	-60.445	16.849
10144.25	10.537	57.834	0.344	2.015	13.378	-60.352	14.947
10144.5	10.508	58.285	0.347	2.017	13.215	-60.276	13.416
10144.75	10.481	58.995	0.351	2.018	13.015	-60.217	12.286
10145	10.459	59.93	0.356	2.02	12.781	-60.189	11.517
10145.25	10.444	60.835	0.362	2.02	12.535	-60.211	11.04
10145.5	10.435	61.457	0.368	2.021	12.32	-60.278	10.784
10145.75	10.431	61.769	0.373	2.021	12.192	-60.365	10.685
10146	10.429	61.897	0.376	2.021	12.204	-60.439	10.705
10146.25	10.428	61.906	0.377	2.02	12.392	-60.475	10.837
10146.5	10.428	61.796	0.376	2.019	12.765	-60.487	11.119
10146.75	10.428	61.503	0.373	2.019	13.307	-60.525	11.622
10147	10.427	60.865	0.369	2.019	13.982	-60.658	12.449
10147.25	10.427	59.789	0.366	2.019	14.752	-60.932	13.712
10147.5	10.427	58.382	0.363	2.02	15.598	-61.352	15.501
10147.75	10.426	56.899	0.361	2.022	16.534	-61.874	17.817
10148	10.426	55.548	0.359	2.024	17.596	-62.431	20.465
10148.25	10.427	54.477	0.357	2.027	18.808	-62.968	22.981
10148.5	10.433	53.676	0.354	2.03	20.155	-63.455	24.81
10148.75	10.445	53.072	0.349	2.033	21.577	-63.883	25.688
10149	10.465	52.669	0.345	2.036	22.987	-64.252	25.758
10149.25	10.493	52.43	0.339	2.039	24.291	-64.56	25.346
10149.5	10.525	52.355	0.335	2.041	25.424	-64.787	24.749
10149.75	10.555	52.467	0.332	2.042	26.375	-64.906	24.189
10150	10.579	52.754	0.33	2.043	27.185	-64.895	23.812
10150.25	10.594	53.199	0.33	2.042	27.902	-64.76	23.688
10150.5	10.599	53.753	0.33	2.041	28.527	-64.534	23.814
10150.75	10.597	54.372	0.331	2.038	28.991	-64.258	24.106
10151	10.591	54.886	0.333	2.036	29.191	-63.972	24.408
10151.25	10.585	55.062	0.336	2.032	29.071	-63.714	24.56
10151.5	10.579	54.81	0.34	2.029	28.684	-63.511	24.481
10151.75	10.574	54.251	0.343	2.026	28.178	-63.378	24.21
10152	10.57	53.626	0.346	2.024	27.695	-63.323	23.868
10152.25	10.567	53.106	0.348	2.022	27.29	-63.343	23.554
10152.5	10.567	52.891	0.347	2.021	26.916	-63.42	23.307
10152.75	10.568	53.157	0.345	2.022	26.484	-63.528	23.124
10153	10.572	53.853	0.342	2.023	25.94	-63.636	22.98
10153.25	10.578	54.781	0.338	2.026	25.312	-63.735	22.819
10153.5	10.586	55.644	0.335	2.029	24.695	-63.843	22.562
10153.75	10.597	56.113	0.331	2.033	24.189	-63.988	22.14
10154	10.611	56.032	0.328	2.038	23.851	-64.169	21.525
10154.25	10.626	55.435	0.325	2.042	23.683	-64.358	20.755
10154.5	10.64	54.542	0.323	2.047	23.661	-64.502	19.945
10154.75	10.652	53.695	0.322	2.05	23.758	-64.545	19.255
10155	10.66	53.163	0.322	2.053	23.97	-64.461	18.837
10155.25	10.665	52.93	0.322	2.054	24.315	-64.273	18.788
10155.5	10.669	52.809	0.324	2.056	24.818	-64.037	19.134
10155.75	10.675	52.682	0.327	2.055	25.468	-63.815	19.812
10156	10.68	52.535	0.332	2.055	26.187	-63.646	20.662
10156.25	10.682	52.457	0.338	2.054	26.82	-63.534	21.454
10156.5	10.678	52.536	0.343	2.053	27.189	-63.461	21.967
10156.75	10.666	52.762	0.346	2.052	27.185	-63.407	22.115
10157	10.649	53.048	0.347	2.052	26.834	-63.361	21.989
10157.25	10.632	53.383	0.345	2.052	26.284	-63.334	21.785
10157.5	10.617	53.797	0.342	2.053	25.723	-63.349	21.687
10157.75	10.608	54.335	0.335	2.055	25.276	-63.426	21.819
10158	10.607	54.951	0.328	2.058	24.941	-63.562	22.244
10158.25	10.613	55.552	0.32	2.061	24.608	-63.737	22.95
10158.5	10.626	55.93	0.312	2.065	24.134	-63.913	23.818
10158.75	10.643	55.896	0.305	2.068	23.437	-64.057	24.576
10159	10.657	55.428	0.3	2.072	22.544	-64.149	24.792
10159.25	10.66	54.715	0.296	2.075	21.559	-64.175	24.047
10159.5	10.646	54.031	0.295	2.079	20.593	-64.125	22.26
10159.75	10.614	53.603	0.296	2.08	19.709	-63.993	19.805
10160	10.571	53.505	0.298	2.082	18.901	-63.772	17.246
10160.25	10.525	53.724	0.301	2.081	18.111	-63.469	15.006
10160.5	10.485	54.223	0.306	2.081	17.272	-63.108	13.252
10160.75	10.457	54.986	0.31	2.078	16.366	-62.717	11.973
10161	10.441	55.939	0.313	2.076	15.431	-62.321	11.09
10161.25	10.432	56.945	0.315	2.072	14.546	-61.927	10.503
10161.5	10.427	57.877	0.318	2.069	13.793	-61.527	10.119
10161.75	10.425	58.551	0.32	2.065	13.226	-61.115	9.858
10162	10.427	58.822	0.321	2.062	12.855	-60.702	9.67
10162.25	10.431	58.6	0.322	2.058	12.654	-60.325	9.533
10162.5	10.439	57.947	0.325	2.055	12.571	-60.02	9.453
10162.75	10.449	57.004	0.331	2.053	12.547	-59.806	9.457
10163	10.458	56.009	0.34	2.05	12.548	-59.679	9.576
10163.25	10.466	55.124	0.35	2.048	12.569	-59.617	9.845
10163.5	10.471	54.419	0.36	2.046	12.635	-59.583	10.297
10163.75	10.474	53.897	0.369	2.044	12.781	-59.544	10.95
10164	10.476	53.569	0.375	2.043	13.017	-59.47	11.781
10164.25	10.477	53.486	0.377	2.042	13.315	-59.34	12.672
10164.5	10.476	53.733	0.375	2.04	13.597	-59.139	13.371
10164.75	10.473	54.359	0.372	2.04	13.746	-58.858	13.562
10165	10.468	55.379	0.37	2.039	13.655	-58.5	13.115
10165.25	10.461	56.634	0.365	2.039	13.289	-58.098	12.236
10165.5	10.454	57.792	0.361	2.038	12.706	-57.713	11.288
10165.75	10.449	58.567	0.36	2.038	12.012	-57.41	10.536
10166	10.447	58.881	0.361	2.038	11.294	-57.24	10.071
10166.25	10.446	58.773	0.362	2.038	10.593	-57.218	9.854
10166.5	10.448	58.389	0.361	2.039	9.906	-57.313	9.751
10166.75	10.448	58.007	0.359	2.04	9.214	-57.47	9.583
10167	10.448	57.807	0.357	2.042	8.512	-57.629	9.205
10167.25	10.448	57.793	0.353	2.044	7.816	-57.742	8.592
10167.5	10.448	57.911	0.35	2.047	7.159	-57.779	7.843
10167.75	10.45	58.031	0.347	2.05	6.576	-57.721	7.084
10168	10.454	58.114	0.345	2.054	6.087	-57.546	6.4
10168.25	10.46	58.295	0.343	2.058	5.698	-57.226	5.821
10168.5	10.467	58.76	0.342	2.062	5.41	-56.735	5.341
10168.75	10.473	59.633	0.34	2.066	5.217	-56.072	4.945
10169	10.476	61.031	0.339	2.07	5.115	-55.272	4.622
10169.25	10.476	62.838	0.338	2.072	5.098	-54.411	4.372
10169.5	10.47	64.618	0.338	2.073	5.156	-53.609	4.2
10169.75	10.462	65.821	0.34	2.073	5.277	-53.013	4.116
10170	10.451	65.981	0.343	2.073	5.449	-52.758	4.136
10170.25	10.442	64.909	0.345	2.07	5.665	-52.923	4.282
10170.5	10.436	62.817	0.344	2.068	5.927	-53.499	4.586
10170.75	10.433	60.273	0.342	2.064	6.261	-54.407	5.094
10171	10.431	57.923	0.336	2.061	6.71	-55.524	5.871
10171.25	10.432	56.242	0.33	2.057	7.335	-56.72	6.999
10171.5	10.432	55.319	0.324	2.054	8.215	-57.896	8.549
10171.75	10.434	54.86	0.32	2.052	9.433	-58.995	10.516
10172	10.436	54.461	0.316	2.05	11.062	-59.998	12.71
10172.25	10.439	53.917	0.312	2.049	13.123	-60.901	14.716
10172.5	10.441	53.265	0.308	2.049	15.513	-61.699	16.114
10172.75	10.443	52.657	0.304	2.049	17.963	-62.388	16.802
10173	10.444	52.166	0.302	2.049	20.13	-62.974	17.028
10173.25	10.445	51.806	0.303	2.05	21.784	-63.472	17.15
10173.5	10.444	51.551	0.307	2.05	22.927	-63.896	17.439
10173.75	10.444	51.372	0.312	2.05	23.697	-64.268	18.037
10174	10.444	51.266	0.311	2.051	24.213	-64.617	18.995
10174.25	10.443	51.205	0.309	2.051	24.512	-64.962	20.289
10174.5	10.442	51.197	0.312	2.051	24.592	-65.307	21.809
10174.75	10.44	51.234	0.315	2.05	24.466	-65.645	23.36
10175	10.437	51.267	0.315	2.05	24.177	-65.964	24.716
10175.25	10.435	51.271	0.312	2.05	23.785	-66.258	25.726
10175.5	10.435	51.312	0.309	2.05	23.338	-66.528	26.391
10175.75	10.437	51.463	0.306	2.05	22.872	-66.775	26.847
10176	10.441	51.651	0.305	2.05	22.419	-66.995	27.289
10176.25	10.444	51.704	0.306	2.05	22.004	-67.181	27.858
10176.5	10.446	51.552	0.306	2.051	21.65	-67.332	28.546
10176.75	10.445	51.252	0.306	2.052	21.365	-67.451	29.143
10177	10.442	50.953	0.305	2.052	21.141	-67.54	29.253
10177.25	10.438	50.796	0.305	2.053	20.953	-67.599	28.472
10177.5	10.437	50.835	0.306	2.054	20.764	-67.617	26.693
10177.75	10.438	51.029	0.31	2.055	20.543	-67.569	24.246
10178	10.441	51.28	0.315	2.056	20.264	-67.43	21.689
10178.25	10.445	51.49	0.319	2.057	19.921	-67.194	19.494
10178.5	10.449	51.552	0.32	2.058	19.518	-66.88	17.922
10178.75	10.45	51.457	0.319	2.058	19.072	-66.536	17.068
10179	10.45	51.331	0.318	2.058	18.606	-66.208	16.95
10179.25	10.448	51.279	0.319	2.058	18.151	-65.923	17.574
10179.5	10.446	51.293	0.322	2.058	17.734	-65.69	18.929
10179.75	10.442	51.246	0.327	2.058	17.373	-65.502	20.914
10180	10.439	50.934	0.325	2.058	17.087	-65.35	23.228
10180.25	10.437	50.279	0.319	2.059	16.895	-65.225	25.319
10180.5	10.435	49.437	0.312	2.059	16.827	-65.12	26.584
10180.75	10.435	48.704	0.311	2.061	16.913	-65.032	26.802
10181	10.437	48.468	0.312	2.063	17.173	-64.955	26.308
10181.25	10.44	48.982	0.314	2.065	17.595	-64.881	25.667
10181.5	10.446	50.182	0.314	2.067	18.128	-64.802	25.342
10181.75	10.452	51.785	0.311	2.069	18.685	-64.714	25.601
10182	10.459	53.513	0.308	2.071	19.175	-64.614	26.544
10182.25	10.464	55.257	0.306	2.072	19.531	-64.503	28.127
10182.5	10.467	57.05	0.308	2.072	19.734	-64.386	30.145
10182.75	10.469	58.835	0.312	2.072	19.82	-64.278	32.197
10183	10.471	60.29	0.316	2.071	19.849	-64.203	33.768
10183.25	10.471	60.956	0.32	2.068	19.882	-64.188	34.469
10183.5	10.469	60.536	0.323	2.066	19.963	-64.26	34.249
10183.75	10.46	59.007	0.326	2.062	20.111	-64.433	33.396
10184	10.443	56.773	0.33	2.059	20.321	-64.703	32.326
10184.25	10.419	54.562	0.332	2.056	20.568	-65.058	31.367
10184.5	10.393	52.903	0.332	2.053	20.82	-65.478	30.639
10184.75	10.369	51.91	0.331	2.052	21.049	-65.938	30.07
10185	10.349	51.393	0.33	2.05	21.25	-66.413	29.51
10185.25	10.335	51.027	0.328	2.051	21.43	-66.882	28.828
10185.5	10.326	50.613	0.326	2.051	21.58	-67.33	28.029
10185.75	10.322	50.211	0.323	2.053	21.656	-67.754	27.286
10186	10.323	49.996	0.32	2.055	21.607	-68.149	26.854
10186.25	10.333	50.048	0.316	2.058	21.415	-68.513	26.92
10186.5	10.351	50.256	0.309	2.061	21.124	-68.847	27.471
10186.75	10.375	50.38	0.303	2.063	20.817	-69.158	28.167
10187	10.401	50.208	0.3	2.066	20.562	-69.458	28.338
10187.25	10.422	49.813	0.297	2.067	20.368	-69.75	27.344
10187.5	10.436	49.483	0.294	2.068	20.17	-70.033	25.156
10187.75	10.443	49.519	0.292	2.068	19.85	-70.297	22.426
10188	10.444	50.147	0.291	2.067	19.302	-70.53	19.905
10188.25	10.441	51.509	0.295	2.065	18.488	-70.72	17.981
10188.5	10.437	53.655	0.301	2.063	17.447	-70.861	16.688
10188.75	10.434	56.569	0.309	2.061	16.261	-70.952	15.878
10189	10.432	60.092	0.317	2.058	15.007	-70.994	15.337
10189.25	10.43	63.822	0.32	2.057	13.744	-70.984	14.839
10189.5	10.43	67.145	0.323	2.055	12.516	-70.914	14.211
10189.75	10.434	69.415	0.327	2.056	11.364	-70.772	13.374
10190	10.443	70.232	0.334	2.056	10.328	-70.544	12.342
10190.25	10.456	69.677	0.339	2.059	9.436	-70.226	11.183
10190.5	10.474	68.263	0.341	2.061	8.7	-69.826	9.983
10190.75	10.491	66.62	0.341	2.066	8.11	-69.353	8.82
10191	10.506	65.314	0.34	2.07	7.641	-68.808	7.762
10191.25	10.517	64.614	0.339	2.074	7.264	-68.17	6.865
10191.5	10.525	64.396	0.339	2.079	6.95	-67.431	6.162
10191.75	10.532	64.369	0.339	2.082	6.678	-66.659	5.668
10192	10.539	64.269	0.34	2.085	6.439	-66.009	5.385
10192.25	10.547	63.921	0.342	2.086	6.232	-65.69	5.302
10192.5	10.552	63.313	0.345	2.087	6.064	-65.871	5.408
10192.75	10.55	62.515	0.349	2.085	5.943	-66.597	5.682
10193	10.539	61.597	0.353	2.084	5.879	-67.742	6.085
10193.25	10.515	60.615	0.357	2.082	5.879	-69.064	6.548
10193.5	10.48	59.63	0.361	2.079	5.943	-70.303	6.976
10193.75	10.439	58.685	0.365	2.078	6.064	-71.288	7.283
10194	10.397	57.918	0.368	2.077	6.231	-71.98	7.428
10194.25	10.36	57.62	0.37	2.077	6.421	-72.44	7.426
10194.5	10.329	58.029	0.371	2.078	6.614	-72.762	7.33
10194.75	10.306	59.257	0.372	2.081	6.787	-73.031	7.199
10195	10.29	61.337	0.373	2.084	6.929	-73.305	7.095
10195.25	10.279	64.198	0.371	2.087	7.034	-73.618	7.066
10195.5	10.274	67.617	0.368	2.091	7.101	-73.977	7.154
10195.75	10.274	71.193	0.363	2.095	7.132	-74.379	7.385
10196	10.277	74.34	0.357	2.098	7.136	-74.807	7.769
10196.25	10.282	76.446	0.352	2.099	7.126	-75.239	8.293
10196.5	10.287	77.103	0.347	2.1	7.118	-75.652	8.905
10196.75	10.291	76.28	0.345	2.099	7.126	-76.026	9.507
10197	10.294	74.184	0.343	2.098	7.16	-76.339	9.973
10197.25	10.295	71.335	0.342	2.095	7.224	-76.565	10.199
10197.5	10.292	68.49	0.343	2.091	7.308	-76.68	10.151
10197.75	10.286	66.332	0.343	2.088	7.395	-76.671	9.87
10198	10.278	65.238	0.344	2.084	7.455	-76.548	9.445
10198.25	10.272	65.276	0.345	2.08	7.461	-76.335	8.971
10198.5	10.27	66.246	0.345	2.077	7.394	-76.069	8.523
10198.75	10.275	67.854	0.346	2.075	7.256	-75.782	8.152
10199	10.286	69.73	0.349	2.073	7.065	-75.495	7.879
10199.25	10.301	71.52	0.353	2.073	6.852	-75.21	7.708
10199.5	10.315	72.902	0.356	2.073	6.646	-74.925	7.624
10199.75	10.326	73.676	0.358	2.073	6.467	-74.641	7.605
10200	10.332	73.579	0.358	2.074	6.325	-74.367	7.623
10200.25	10.334	72.43	0.355	2.074	6.225	-74.118	7.646
10200.5	10.335	70.336	0.35	2.075	6.168	-73.903	7.641
10200.75	10.334	67.613	0.343	2.075	6.156	-73.713	7.562
10201	10.334	64.626	0.334	2.075	6.192	-73.514	7.36
10201.25	10.334	61.732	0.326	2.073	6.283	-73.246	7.002
10201.5	10.335	59.169	0.32	2.072	6.426	-72.832	6.509
10201.75	10.335	57.152	0.319	2.069	6.61	-72.219	5.958
10202	10.335	55.87	0.323	2.066	6.805	-71.416	5.442
10202.25	10.335	55.296	0.33	2.063	6.96	-70.498	5.04
10202.5	10.335	55.218	0.328	2.06	7.003	-69.572	4.799
10202.75	10.334	55.429	0.324	2.059	6.87	-68.735	4.742
10203	10.332	55.775	0.321	2.058	6.542	-68.029	4.884
10203.25	10.329	56.176	0.327	2.061	6.063	-67.428	5.22
10203.5	10.324	56.741	0.327	2.064	5.518	-66.849	5.664
10203.75	10.319	57.552	0.326	2.072	4.982	-66.163	5.962
10204	10.314	58.534	0.323	2.08	4.505	-65.244	5.741
