DEPTH (FT)	CALI (IN)	GR (GAPI)	NPHISS	RHOB (G/C3)	RILD (OHMM)	SP (MV)	RFOC (OHMM)
10023.25	10.485	98.565	0.434	2.316	0.676	-3.553	0.734
10023.5	10.482	99.187	0.434	2.316	0.678	-3.746	0.734
10023.75	10.48	100.008	0.436	2.316	0.681	-3.904	0.73
10024	10.478	100.67	0.438	2.316	0.683	-4.09	0.724
10024.25	10.476	100.92	0.44	2.315	0.686	-4.328	0.719
10024.5	10.476	100.752	0.441	2.315	0.687	-4.593	0.717
10024.75	10.476	100.322	0.441	2.314	0.688	-4.832	0.716
10025	10.475	99.796	0.439	2.313	0.688	-5.013	0.717
10025.25	10.475	99.375	0.437	2.312	0.688	-5.134	0.718
10025.5	10.474	99.182	0.435	2.312	0.687	-5.2	0.718
10025.75	10.475	99.217	0.435	2.31	0.686	-5.227	0.717
10026	10.477	99.373	0.435	2.309	0.686	-5.232	0.715
10026.25	10.48	99.766	0.437	2.308	0.685	-5.232	0.712
10026.5	10.483	100.517	0.438	2.307	0.684	-5.244	0.709
10026.75	10.483	101.439	0.439	2.306	0.682	-5.277	0.706
10027	10.477	102.144	0.439	2.305	0.681	-5.332	0.704
10027.25	10.467	102.359	0.438	2.303	0.68	-5.395	0.702
10027.5	10.455	102.065	0.436	2.301	0.679	-5.446	0.7
10027.75	10.443	101.376	0.433	2.299	0.678	-5.468	0.699
10028	10.434	100.479	0.431	2.297	0.678	-5.455	0.698
10028.25	10.427	99.643	0.431	2.295	0.678	-5.416	0.699
10028.5	10.421	99.106	0.431	2.292	0.678	-5.372	0.701
10028.75	10.416	98.925	0.433	2.289	0.679	-5.337	0.704
10029	10.413	98.995	0.436	2.287	0.679	-5.316	0.706
10029.25	10.418	99.233	0.438	2.285	0.68	-5.302	0.707
10029.5	10.438	99.72	0.44	2.283	0.682	-5.281	0.706
10029.75	10.476	100.439	0.441	2.282	0.684	-5.252	0.703
10030	10.531	101.299	0.442	2.281	0.686	-5.227	0.7
10030.25	10.592	102.136	0.443	2.282	0.689	-5.228	0.697
10030.5	10.65	102.897	0.445	2.283	0.692	-5.273	0.696
10030.75	10.695	103.58	0.447	2.286	0.696	-5.376	0.697
10031	10.728	104.034	0.45	2.288	0.7	-5.538	0.698
10031.25	10.753	103.98	0.452	2.293	0.706	-5.759	0.7
10031.5	10.779	103.353	0.453	2.297	0.711	-6.046	0.704
10031.75	10.811	102.146	0.452	2.303	0.718	-6.411	0.709
10032	10.847	100.422	0.447	2.308	0.725	-6.858	0.716
10032.25	10.883	98.464	0.438	2.314	0.731	-7.374	0.727
10032.5	10.916	96.647	0.427	2.32	0.738	-7.929	0.741
10032.75	10.947	95.135	0.415	2.325	0.744	-8.488	0.757
10033	10.982	93.885	0.404	2.329	0.749	-9.027	0.774
10033.25	11.025	92.832	0.394	2.332	0.755	-9.555	0.788
10033.5	11.074	91.977	0.387	2.335	0.76	-10.098	0.8
